ciudad,temp_c,humedad,precip_mm,viento_kmh,fecha
Valparaíso,10.1,85.0,3.5,15.2,2026-02-01
Iquique,22.3,41.0,4.0,28.9,2026-01-20
Temuco,12.4,60.0,4.8,32.5,2026-02-19
Rancagua,0.5,64.0,2.0,11.2,2026-06-11
Temuco,4.7,76.0,2.1,20.1,2026-01-25
Valparaíso,15.6,92.0,5.5,21.4,2026-01-16
Temuco,10.7,49.0,3.8,28.5,2026-02-15
Puerto Montt,8.8,72.0,3.7,12.4,2026-03-19
La Serena,12.6,59.0,1.1,19.4,2026-05-31
Puerto Montt,1.8,65.0,1.9,23.3,2026-05-12
Puerto Montt,55.0,65.0,0.1,19.0,05/01/2026
Concepción,8.8,51.0,3.2,1.4,2026-04-20
Valparaíso,55.0,44.0,0.1,17.9,2026-02-16
La Serena,14.6,78.0,2.7,29.3,2026-04-16
La Serena,20.4,63.0,5.3,15.1,2026-04-06
Iquique,17.9,,1.1,38.8,2026-05-02
Antofagasta,17.5,89.0,1.6,15.7,2026-03-31
Valparaíso,7.9,51.0,5.9,22.6,2026-05-27
Concepción,99.9,75.0,1.2,27.1,2026-01-26
Rancagua,15.7,,11.1,4.3,2026-01-10
La Serena,21.4,28.0,2.4,12.6,2026-01-30
Talca,16.9,77.0,0.3,22.2,2026-01-24
Puerto Montt,8.0,60.0,0.4,7.3,2026-02-04
Iquique,15.5,57.0,0.2,30.0,2026-03-07
Talca,21.0,63.0,3.8,13.2,2026-03-22
Iquique,,45.0,0.5,9.2,2026-04-28
Santiago,15.6,,14.1,32.8,2026-02-12
Talca,10.3,36.0,1.3,22.9,2026-04-08
Talca,14.8,59.0,1.1,16.8,2026-05-20
Iquique,21.6,68.0,1.3,24.6,2026-03-05
Valparaíso,10.8,70.0,0.0,18.3,2026-02-03
Talca,10.3,32.0,0.3,11.2,2026-04-17
Santiago,9.6,68.0,2.3,24.0,2026-03-06
Santiago,17.0,66.0,2.4,8.0,2026-05-26
Puerto Montt,7.4,86.0,3.7,20.6,2026-01-22
Temuco,9.3,70.0,7.2,31.7,2026-04-26
Concepción,5.8,84.0,4.4,19.0,2026-04-01
Valparaíso,12.6,82.0,0.3,25.3,2026-06-14
Rancagua,12.2,78.0,0.2,22.1,2026-01-02
Iquique,15.0,83.0,1.5,17.0,2026-03-05
Valparaíso,17.5,54.0,0.3,25.0,2026-02-08
Temuco,9.3,37.0,3.9,7.8,2026-04-15
Concepción,12.7,66.0,2.7,18.9,2026-04-03
Concepción,4.8,51.0,2.6,7.9,2026-03-16
Rancagua,12.2,,3.5,19.2,2026-03-12
Puerto Montt,11.9,74.0,0.4,26.1,2026-04-27
Iquique,14.6,65.0,2.4,25.6,2026-01-30
Talca,6.8,79.0,0.8,16.4,08/04/2026
Antofagasta,20.6,40.0,5.2,17.8,2026-02-20
Puerto Montt,8.1,53.0,3.7,13.2,2026-01-19
La Serena,19.1,81.0,0.3,21.9,2026-04-24
Santiago,,57.0,1.2,8.5,2026-05-01
Concepción,10.1,76.0,1.4,26.7,2026-01-28
Rancagua,18.4,47.0,0.0,6.7,2026-01-10
Santiago,8.1,66.0,2.6,5.7,2026-05-17
Santiago,8.1,66.0,2.6,5.7,2026-05-17
Concepción,9.3,43.0,3.6,15.9,2026-01-05
Concepción,,36.0,4.4,25.0,2026-01-23
Santiago,13.3,67.0,6.0,24.3,2026-05-10
Antofagasta,20.0,64.0,1.2,18.3,2026-06-15
Talca,16.7,45.0,0.6,0.0,2026-04-29
Talca,,65.0,0.2,29.3,2026-01-04
La Serena,20.7,48.0,2.7,14.3,27/01/2026
La Serena,11.8,70.0,2.5,8.0,2026-04-03
Rancagua,14.4,43.0,3.8,19.0,2026-06-09
Iquique,20.6,74.0,1.7,10.3,2026-04-09
Concepción,15.5,64.0,4.1,15.9,2026-05-05
Santiago,11.6,77.0,2.7,12.1,2026-04-05
TEMUCO,6.9,65.0,7.5,18.2,2026-01-09
Valparaíso,14.0,90.0,0.6,10.8,2026-02-21
Concepción,19.5,66.0,7.3,17.5,2026-04-12
Antofagasta,14.4,66.0,4.7,31.9,2026-05-07
La Serena,24.5,53.0,0.7,17.0,2026-05-23
Talca,17.9,69.0,0.3,18.9,2026-01-01
Puerto Montt,7.7,85.0,2.9,11.0,2026-06-05
Rancagua,18.5,69.0,2.0,30.9,12/05/2026
Rancagua,13.5,60.0,3.8,29.2,2026-02-28
Iquique,17.5,,0.1,10.4,2026-05-15
Valparaíso,19.9,55.0,3.0,10.7,2026-02-23
Puerto Montt,6.1,77.0,2.8,36.2,2026-02-06
Iquique,,65.0,0.2,34.3,2026-04-23
IQUIQUE,-20.0,65.0,0.4,20.3,2026-02-03
Talca,13.9,,0.4,12.7,2026-04-12
Antofagasta,20.5,47.0,0.7,15.9,2026-01-20
La Serena,7.2,96.0,1.9,0.0,2026-06-04
Rancagua,,94.0,2.8,19.3,2026-05-07
Iquique,27.6,68.0,2.3,22.4,2026-03-09
TEMUCO,4.6,60.0,0.3,20.1,2026-02-02
Santiago,16.5,68.0,1.8,22.1,2026-05-26
Temuco,12.8,50.0,5.7,26.5,2026-02-08
Talca,,64.0,4.5,10.4,2026-03-19
Santiago,11.5,60.0,1.5,3.4,2026-05-31
Iquique,20.5,63.0,1.9,17.0,2026-02-05
Santiago,17.4,65.0,5.5,14.5,2026-04-30
La Serena,18.5,72.0,5.5,15.6,2026-01-03
La Serena,15.0,83.0,2.1,18.1,2026-03-29
Valparaíso,8.0,53.0,1.4,27.2,2026-02-13
Antofagasta,23.4,73.0,4.4,7.7,2026-04-21
Talca,16.9,77.0,0.3,22.2,2026-01-24
Temuco,14.1,88.0,7.3,15.8,2026-05-16
Santiago,16.1,73.0,2.3,19.8,2026-06-10
Rancagua,6.5,54.0,1.6,14.2,2026-02-10
Talca,8.4,89.0,0.8,17.0,2026-03-08
Talca,15.6,56.0,1.8,27.5,2026-01-29
Talca,16.4,59.0,17.7,26.2,2026-01-06
Santiago,11.9,51.0,0.0,15.5,2026-04-02
Santiago,13.0,54.0,18.2,7.4,2026-03-17
Santiago,10.9,77.0,1.2,17.0,2026-03-10
Concepción,13.5,88.0,4.8,35.9,2026-06-02
Talca,11.8,81.0,5.4,3.9,2026-06-06
Concepción,12.9,53.0,4.1,36.4,2026-03-15
Rancagua,16.9,78.0,6.8,5.0,2026-01-07
Concepción,1.1,43.0,2.0,26.1,2026-01-11
Puerto Montt,2.6,44.0,4.2,12.6,2026-02-18
Talca,10.3,32.0,0.3,11.2,2026-04-17
Talca,10.6,87.0,0.1,26.1,2026-04-19
Rancagua,16.7,81.0,2.3,21.5,2026-01-15
Valparaíso,22.5,63.0,2.9,3.2,2026-03-01
Santiago,18.2,97.0,1.7,43.3,2026-06-01
Valparaíso,22.5,53.0,1.4,28.7,2026-04-22
Santiago,21.8,73.0,2.2,14.0,2026-05-24
Talca,16.9,60.0,1.0,16.5,2026-06-08
Puerto Montt,-15.5,42.0,0.8,10.7,2026-02-22
Rancagua,14.0,71.0,7.8,19.0,2026-02-14
Rancagua,13.4,65.0,2.0,23.9,2026-03-30
Concepción,20.1,62.0,8.1,10.0,2026-02-11
Rancagua,11.5,82.0,11.1,21.7,2026-05-25
Antofagasta,16.6,34.0,1.4,16.6,2026-06-05
Valparaíso,13.7,78.0,4.5,12.7,2026-05-21
Antofagasta,24.2,53.0,5.3,16.8,2026-02-18
Talca,,86.0,4.1,7.1,2026-02-09
Rancagua,6.8,55.0,2.1,14.2,2026-03-14
Santiago,12.9,51.0,10.3,9.5,2026-01-18
Antofagasta,22.5,56.0,4.6,28.9,2026-02-17
Antofagasta,14.4,64.0,7.5,21.7,2026-05-13
Concepción,20.1,62.0,8.1,10.0,2026-02-11
Talca,11.9,95.0,7.5,39.9,2026-04-17
Talca,17.7,52.0,0.7,15.1,2026-01-31
CONCEPCIÓN,10.6,53.0,7.7,14.4,2026-05-11
La Serena,21.5,55.0,2.1,18.4,2026-06-12
Temuco,7.4,90.0,4.9,16.5,2026-01-01
Temuco,11.2,60.0,0.7,26.8,2026-02-13
Iquique,23.9,47.0,1.4,5.8,2026-05-04
Temuco,7.9,,4.7,18.6,2026-04-18
Talca,14.8,51.0,0.7,12.7,2026-05-06
Talca,5.5,55.0,1.8,25.4,2026-03-27
Rancagua,18.8,56.0,4.2,33.6,2026-03-24
Puerto Montt,15.1,68.0,9.6,11.4,2026-04-07
Santiago,12.1,55.0,6.3,19.9,2026-03-14
Rancagua,10.2,,1.7,19.2,2026-03-03
Puerto Montt,,62.0,2.9,24.3,2026-04-11
Concepción,12.7,66.0,2.7,18.9,2026-04-03
La Serena,14.5,87.0,0.7,15.8,2026-01-17
Antofagasta,16.6,34.0,1.4,16.6,2026-06-05
La Serena,18.4,47.0,6.9,14.0,2026-02-28
Concepción,15.8,68.0,2.3,20.1,2026-03-29
Antofagasta,20.9,69.0,3.9,25.7,2026-01-12
La Serena,14.1,70.0,4.2,31.2,18/03/2026
Antofagasta,23.3,47.0,0.6,21.8,2026-05-29
Talca,,25.0,1.4,24.4,2026-03-26
