facultad,turno,dia_semana,tipo_pedido,metodo_pago,nivel_academico,semana_mes,gasto_total,tiempo_espera_min,calificacion_servicio,items_pedido,propina_porcentaje
Ciencias,Tarde,Miércoles,Snack,Débito,Pregrado,4,1.56,9.1,4.4,1,6.7
Ciencias,Tarde,Miércoles,Almuerzo,Débito,Pregrado,1,5.96,13.8,4.6,4,8.8
Ciencias,Tarde,Miércoles,Colación,Débito,Pregrado,2,2.35,13.2,4.0,1,5.8
Ciencias,Tarde,Miércoles,Bebida,Débito,Postgrado,4,2.28,10.0,4.0,1,7.5
Ciencias,Tarde,Miércoles,Bebida,Débito,Pregrado,4,1.31,9.9,4.2,1,5.7
Ciencias,Tarde,Viernes,Bebida,Débito,Postgrado,1,2.29,11.2,3.1,1,14.4
Ciencias,Tarde,Viernes,Colación,Débito,Pregrado,2,3.54,8.0,4.9,4,11.7
Ciencias,Tarde,Viernes,Almuerzo,Débito,Postgrado,3,6.12,13.4,4.9,4,12.0
Ciencias,Tarde,Viernes,Colación,Débito,Pregrado,1,2.77,12.2,4.5,3,3.2
Ciencias,Tarde,Viernes,Snack,Efectivo,Pregrado,1,2.12,15.4,3.1,2,1.0
Economía,Mañana,Jueves,Almuerzo,Débito,Pregrado,1,4.74,9.1,4.7,2,7.7
Economía,Mañana,Jueves,Almuerzo,QR,Pregrado,4,5.12,3.5,4.6,1,12.5
Economía,Mañana,Jueves,Snack,Efectivo,Postgrado,4,3.04,11.5,5.0,6,4.4
Economía,Mañana,Lunes,Almuerzo,Débito,Pregrado,2,4.01,9.1,4.2,2,4.7
Economía,Mañana,Lunes,Almuerzo,Efectivo,Pregrado,1,2.78,8.4,3.6,3,4.7
Economía,Mañana,Lunes,Colación,Débito,Pregrado,4,2.55,6.4,4.5,5,5.6
Economía,Mañana,Lunes,Bebida,Débito,Pregrado,2,2.45,11.2,4.4,1,8.5
Economía,Mañana,Martes,Almuerzo,Efectivo,Postgrado,2,5.93,10.1,3.6,3,8.8
Economía,Mañana,Martes,Bebida,Débito,Pregrado,4,0.8,7.8,5.0,1,5.5
Economía,Mañana,Miércoles,Almuerzo,Débito,Pregrado,1,4.13,16.9,3.5,4,8.6
Economía,Mañana,Viernes,Colación,QR,Postgrado,2,4.57,8.2,4.0,2,15.6
Economía,Mañana,Viernes,Almuerzo,Efectivo,Postgrado,3,5.62,10.4,3.2,1,14.3
Economía,Mañana,Viernes,Snack,QR,Pregrado,4,0.8,7.2,4.8,1,9.1
Economía,Mañana,Viernes,Snack,Efectivo,Postgrado,2,2.06,5.2,4.6,1,10.8
Economía,Mañana,Viernes,Almuerzo,Débito,Pregrado,3,5.43,11.4,4.7,2,6.9
Economía,Noche,Martes,Almuerzo,QR,Pregrado,1,4.62,11.1,4.5,6,5.8
Economía,Noche,Martes,Almuerzo,Efectivo,Postgrado,3,5.37,13.2,4.7,1,7.8
Economía,Noche,Miércoles,Colación,QR,Pregrado,2,3.13,14.8,3.5,1,8.3
Economía,Noche,Miércoles,Almuerzo,Débito,Pregrado,3,5.59,10.9,4.7,3,5.2
Economía,Tarde,Jueves,Colación,Efectivo,Pregrado,3,2.5,11.7,3.7,1,9.1
Economía,Tarde,Jueves,Bebida,QR,Pregrado,2,0.97,10.5,3.4,1,10.7
Economía,Tarde,Jueves,Colación,Débito,Postgrado,3,3.13,12.1,3.9,1,12.3
Economía,Tarde,Jueves,Colación,Débito,Postgrado,3,4.88,11.2,4.6,3,14.2
Economía,Tarde,Jueves,Almuerzo,Débito,Pregrado,2,4.84,16.9,3.1,3,4.7
Economía,Tarde,Lunes,Bebida,Débito,Postgrado,1,1.05,14.3,4.6,1,7.9
Economía,Tarde,Lunes,Colación,QR,Pregrado,2,1.92,8.0,4.0,4,8.7
Economía,Tarde,Lunes,Almuerzo,QR,Pregrado,3,3.97,10.9,5.0,1,13.6
Economía,Tarde,Lunes,Bebida,QR,Pregrado,1,1.87,12.8,4.1,1,17.4
Economía,Tarde,Lunes,Colación,Débito,Pregrado,2,3.02,14.4,3.7,2,7.3
Economía,Tarde,Lunes,Almuerzo,Débito,Pregrado,1,4.07,16.0,3.3,6,5.1
Economía,Tarde,Martes,Almuerzo,Débito,Pregrado,4,4.57,14.3,4.4,3,10.3
Economía,Tarde,Martes,Almuerzo,Débito,Pregrado,2,3.77,12.3,2.9,2,7.9
Economía,Tarde,Martes,Almuerzo,Efectivo,Pregrado,4,3.61,8.4,4.5,3,0.3
Economía,Tarde,Martes,Almuerzo,QR,Pregrado,1,6.99,16.9,3.2,5,14.6
Economía,Tarde,Miércoles,Colación,Débito,Pregrado,1,3.65,13.4,3.7,4,8.2
Economía,Tarde,Viernes,Almuerzo,QR,Pregrado,1,4.76,11.0,4.9,2,10.7
Economía,Tarde,Viernes,Almuerzo,Débito,Pregrado,2,4.52,16.1,4.8,1,5.2
Economía,Tarde,Viernes,Colación,Débito,Pregrado,2,2.14,8.5,4.8,5,10.1
Economía,Tarde,Viernes,Almuerzo,Débito,Pregrado,2,5.05,7.2,4.1,3,4.9
Humanidades,Mañana,Jueves,Bebida,Efectivo,Pregrado,1,2.39,7.6,3.2,1,7.0
Humanidades,Mañana,Jueves,Almuerzo,Efectivo,Pregrado,2,4.49,10.5,3.7,4,6.9
Humanidades,Mañana,Jueves,Colación,Débito,Pregrado,1,3.27,14.5,3.3,2,5.7
Humanidades,Mañana,Jueves,Bebida,Débito,Postgrado,3,1.12,7.9,3.0,1,9.7
Humanidades,Mañana,Lunes,Almuerzo,Débito,Pregrado,4,4.74,7.5,2.7,4,11.0
Humanidades,Mañana,Lunes,Almuerzo,QR,Postgrado,2,3.41,10.5,2.9,4,14.9
Humanidades,Mañana,Lunes,Almuerzo,Efectivo,Pregrado,3,4.55,7.9,3.1,1,1.2
Humanidades,Mañana,Lunes,Almuerzo,QR,Pregrado,2,4.43,9.8,4.3,2,5.2
Humanidades,Mañana,Lunes,Snack,Efectivo,Pregrado,2,1.75,4.4,4.7,1,8.3
Humanidades,Mañana,Martes,Bebida,Débito,Pregrado,1,1.62,8.0,4.3,1,5.5
Humanidades,Mañana,Martes,Bebida,Efectivo,Pregrado,1,1.94,10.6,4.1,2,3.8
Humanidades,Mañana,Martes,Bebida,Débito,Pregrado,2,1.89,2.3,5.0,1,8.3
Humanidades,Mañana,Miércoles,Bebida,Débito,Pregrado,4,0.8,2.9,4.7,5,6.9
Humanidades,Mañana,Miércoles,Snack,QR,Postgrado,3,2.41,8.9,5.0,3,11.7
Humanidades,Mañana,Miércoles,Almuerzo,QR,Pregrado,2,4.69,13.6,4.1,2,6.2
Humanidades,Mañana,Miércoles,Almuerzo,Efectivo,Pregrado,4,5.03,14.5,3.4,3,5.3
Humanidades,Mañana,Viernes,Bebida,Débito,Pregrado,4,1.19,5.5,4.7,1,6.7
Humanidades,Mañana,Viernes,Snack,QR,Pregrado,4,2.08,5.5,4.5,2,11.1
Humanidades,Mañana,Viernes,Almuerzo,Débito,Pregrado,2,4.58,12.1,4.8,5,6.9
Humanidades,Mañana,Viernes,Colación,Débito,Pregrado,3,2.87,11.4,3.0,1,11.5
Humanidades,Noche,Jueves,Almuerzo,Efectivo,Pregrado,1,5.17,10.3,3.6,1,2.4
Humanidades,Noche,Jueves,Bebida,Débito,Pregrado,3,1.55,1.3,4.0,1,3.6
Humanidades,Noche,Jueves,Colación,Débito,Pregrado,2,2.91,3.6,3.7,2,9.7
Humanidades,Noche,Lunes,Almuerzo,Débito,Pregrado,1,4.65,13.4,4.2,2,4.4
Humanidades,Noche,Lunes,Bebida,Efectivo,Pregrado,1,1.96,3.6,5.0,1,3.7
Humanidades,Noche,Lunes,Colación,Efectivo,Pregrado,2,2.71,8.4,4.8,1,5.3
Humanidades,Noche,Lunes,Almuerzo,Efectivo,Pregrado,3,4.93,8.0,4.3,5,6.1
Humanidades,Noche,Lunes,Almuerzo,Débito,Pregrado,2,5.47,5.1,3.9,7,0.0
Humanidades,Noche,Martes,Colación,Efectivo,Postgrado,2,4.65,9.8,3.6,2,14.4
Humanidades,Noche,Martes,Colación,Débito,Pregrado,4,3.61,10.0,2.9,2,10.1
Humanidades,Noche,Martes,Colación,QR,Pregrado,1,2.43,4.6,3.5,3,9.8
Humanidades,Noche,Martes,Colación,Efectivo,Pregrado,3,3.7,6.7,3.9,1,5.6
Humanidades,Noche,Miércoles,Colación,QR,Pregrado,4,4.43,12.6,3.8,1,11.6
Humanidades,Noche,Viernes,Almuerzo,Efectivo,Pregrado,3,5.08,11.1,4.4,7,8.4
Humanidades,Noche,Viernes,Almuerzo,Efectivo,Pregrado,1,4.74,11.9,3.6,1,2.9
Humanidades,Tarde,Jueves,Colación,Débito,Pregrado,1,2.06,6.9,5.0,1,3.8
Humanidades,Tarde,Jueves,Colación,Débito,Pregrado,3,3.35,7.7,4.7,2,10.0
Humanidades,Tarde,Jueves,Bebida,QR,Pregrado,1,0.8,7.7,3.1,1,16.5
Humanidades,Tarde,Jueves,Almuerzo,Efectivo,Pregrado,4,5.47,15.1,3.4,2,10.2
Humanidades,Tarde,Jueves,Colación,QR,Pregrado,2,1.56,8.3,3.8,4,7.7
Humanidades,Tarde,Jueves,Almuerzo,Débito,Postgrado,3,4.34,13.8,4.3,1,12.7
Humanidades,Tarde,Jueves,Bebida,Efectivo,Pregrado,4,1.28,8.3,2.9,1,11.3
Humanidades,Tarde,Lunes,Almuerzo,Débito,Pregrado,4,3.86,11.9,5.0,2,8.8
Humanidades,Tarde,Lunes,Snack,Débito,Postgrado,1,2.59,13.2,4.0,4,7.2
Humanidades,Tarde,Lunes,Bebida,Débito,Pregrado,1,0.98,12.3,3.8,1,7.9
Humanidades,Tarde,Lunes,Bebida,Efectivo,Pregrado,4,0.85,9.9,3.5,2,5.5
Humanidades,Tarde,Lunes,Colación,Débito,Pregrado,3,0.8,9.0,3.7,3,5.3
Humanidades,Tarde,Lunes,Colación,Efectivo,Postgrado,4,4.5,11.4,2.8,1,10.2
Humanidades,Tarde,Lunes,Almuerzo,QR,Pregrado,1,3.81,12.6,3.8,6,5.8
Humanidades,Tarde,Lunes,Colación,Débito,Pregrado,1,3.29,9.0,4.0,3,6.3
Humanidades,Tarde,Martes,Almuerzo,Débito,Pregrado,2,3.14,12.7,3.3,1,8.9
Humanidades,Tarde,Martes,Snack,QR,Pregrado,2,2.42,13.2,2.8,2,4.8
Humanidades,Tarde,Martes,Almuerzo,Débito,Postgrado,2,5.48,15.2,3.2,1,10.1
Humanidades,Tarde,Martes,Colación,QR,Pregrado,3,2.53,6.4,5.0,1,9.8
Humanidades,Tarde,Martes,Bebida,Efectivo,Pregrado,2,0.8,5.5,4.0,1,14.5
Humanidades,Tarde,Miércoles,Colación,Débito,Pregrado,2,4.81,9.2,4.2,3,9.1
Humanidades,Tarde,Miércoles,Colación,Efectivo,Postgrado,3,4.06,10.9,3.8,1,9.8
Humanidades,Tarde,Miércoles,Almuerzo,Débito,Pregrado,3,3.5,13.2,4.3,3,5.6
Humanidades,Tarde,Miércoles,Bebida,Efectivo,Pregrado,3,1.21,9.5,4.0,1,5.5
Humanidades,Tarde,Viernes,Colación,Débito,Pregrado,1,2.15,11.5,4.2,1,0.9
Humanidades,Tarde,Viernes,Snack,Débito,Pregrado,4,1.84,9.4,3.4,6,8.2
Humanidades,Tarde,Viernes,Almuerzo,Efectivo,Pregrado,2,3.43,10.9,4.4,1,6.6
Humanidades,Tarde,Viernes,Almuerzo,Efectivo,Pregrado,1,4.46,11.6,4.1,6,11.4
Humanidades,Tarde,Viernes,Snack,Efectivo,Pregrado,1,0.8,10.2,4.9,1,13.3
Humanidades,Tarde,Viernes,Almuerzo,Débito,Postgrado,2,6.25,13.3,3.9,1,11.6
Humanidades,Tarde,Viernes,Almuerzo,Débito,Pregrado,4,4.67,13.5,3.3,1,6.7
Ingeniería,Mañana,Jueves,Almuerzo,Efectivo,Pregrado,1,4.38,9.8,4.9,3,5.2
Ingeniería,Mañana,Jueves,Snack,Débito,Pregrado,3,0.96,1.2,4.4,1,2.2
Ingeniería,Mañana,Jueves,Snack,Efectivo,Pregrado,1,1.76,9.2,4.2,4,5.8
Ingeniería,Mañana,Jueves,Snack,Efectivo,Postgrado,1,2.34,9.8,3.3,4,16.1
Ingeniería,Mañana,Jueves,Snack,Débito,Postgrado,1,3.2,9.1,3.1,1,11.0
Ingeniería,Mañana,Jueves,Almuerzo,Débito,Pregrado,3,2.87,6.7,5.0,1,2.1
Ingeniería,Mañana,Jueves,Colación,Débito,Pregrado,4,2.99,7.0,4.2,2,6.0
Ingeniería,Mañana,Jueves,Almuerzo,Efectivo,Postgrado,3,4.65,7.9,3.8,2,11.2
Ingeniería,Mañana,Jueves,Colación,QR,Pregrado,1,1.89,4.8,4.7,1,9.4
Ingeniería,Mañana,Jueves,Almuerzo,QR,Postgrado,4,5.51,14.1,4.8,1,10.3
Ingeniería,Mañana,Jueves,Almuerzo,QR,Pregrado,2,4.31,9.7,5.0,1,11.3
Ingeniería,Mañana,Jueves,Colación,Débito,Pregrado,4,2.35,7.9,4.7,2,2.0
Ingeniería,Mañana,Jueves,Almuerzo,Débito,Pregrado,1,3.97,10.8,4.5,1,6.5
Ingeniería,Mañana,Jueves,Colación,Efectivo,Pregrado,3,1.73,1.1,4.1,4,9.4
Ingeniería,Mañana,Jueves,Colación,QR,Pregrado,2,0.8,9.6,4.9,1,9.6
Ingeniería,Mañana,Jueves,Colación,Débito,Pregrado,1,3.33,8.6,5.0,5,7.7
Ingeniería,Mañana,Lunes,Almuerzo,QR,Pregrado,2,4.88,14.4,4.0,3,7.7
Ingeniería,Mañana,Lunes,Snack,Efectivo,Postgrado,4,1.3,5.6,4.1,2,10.4
Ingeniería,Mañana,Lunes,Colación,Efectivo,Pregrado,3,1.93,7.5,4.0,1,7.4
Ingeniería,Mañana,Lunes,Almuerzo,Efectivo,Pregrado,3,3.55,9.8,4.4,4,3.4
Ingeniería,Mañana,Lunes,Bebida,QR,Pregrado,3,1.18,3.7,4.6,1,11.1
Ingeniería,Mañana,Lunes,Colación,Débito,Pregrado,3,4.22,10.8,4.5,3,3.8
Ingeniería,Mañana,Lunes,Snack,Débito,Pregrado,4,0.9,8.1,5.0,3,10.3
Ingeniería,Mañana,Martes,Colación,Débito,Pregrado,2,3.34,9.5,4.7,2,8.6
Ingeniería,Mañana,Martes,Colación,Débito,Pregrado,1,1.91,6.3,3.6,1,3.3
Ingeniería,Mañana,Martes,Snack,Débito,Pregrado,1,2.08,5.0,4.2,4,0.2
Ingeniería,Mañana,Martes,Bebida,Débito,Pregrado,1,1.2,7.7,4.1,2,6.2
Ingeniería,Mañana,Martes,Snack,Débito,Pregrado,2,2.16,9.3,4.1,4,3.3
Ingeniería,Mañana,Martes,Almuerzo,QR,Pregrado,3,4.81,13.1,3.4,2,5.4
Ingeniería,Mañana,Martes,Colación,QR,Pregrado,1,2.19,7.2,3.6,4,6.7
Ingeniería,Mañana,Miércoles,Bebida,Efectivo,Pregrado,1,1.57,6.2,3.7,1,4.9
Ingeniería,Mañana,Miércoles,Almuerzo,Efectivo,Pregrado,4,4.55,16.3,4.3,3,4.1
Ingeniería,Mañana,Miércoles,Almuerzo,Efectivo,Pregrado,2,4.88,11.4,3.7,2,5.2
Ingeniería,Mañana,Miércoles,Bebida,Efectivo,Pregrado,1,1.63,10.1,3.5,2,7.0
Ingeniería,Mañana,Miércoles,Bebida,Efectivo,Pregrado,2,1.71,7.1,4.1,1,11.9
Ingeniería,Mañana,Miércoles,Colación,Débito,Pregrado,2,3.39,9.8,3.7,1,6.8
Ingeniería,Mañana,Miércoles,Bebida,QR,Pregrado,3,0.8,9.0,4.3,1,6.8
Ingeniería,Mañana,Viernes,Almuerzo,Efectivo,Pregrado,4,4.53,8.4,2.7,1,0.7
Ingeniería,Mañana,Viernes,Snack,Débito,Postgrado,3,2.79,10.2,3.7,2,15.0
Ingeniería,Mañana,Viernes,Almuerzo,Efectivo,Postgrado,2,4.41,7.1,4.3,5,12.8
Ingeniería,Mañana,Viernes,Colación,QR,Postgrado,1,4.04,8.7,4.3,3,7.6
Ingeniería,Mañana,Viernes,Almuerzo,Débito,Pregrado,3,5.86,14.3,3.9,1,7.8
Ingeniería,Mañana,Viernes,Almuerzo,Débito,Pregrado,1,4.74,12.8,3.5,7,2.6
Ingeniería,Noche,Jueves,Colación,Efectivo,Pregrado,1,3.84,5.9,3.7,2,4.1
Ingeniería,Noche,Jueves,Almuerzo,Débito,Pregrado,2,5.23,11.8,3.5,6,7.9
Ingeniería,Noche,Jueves,Bebida,Efectivo,Pregrado,1,2.38,6.2,5.0,3,7.2
Ingeniería,Noche,Lunes,Bebida,Débito,Pregrado,2,1.67,7.9,3.7,1,7.3
Ingeniería,Noche,Lunes,Almuerzo,Débito,Pregrado,3,3.39,3.7,4.3,3,1.9
Ingeniería,Noche,Lunes,Almuerzo,Débito,Pregrado,2,3.83,4.9,3.2,1,5.2
Ingeniería,Noche,Lunes,Bebida,Débito,Pregrado,2,2.17,11.3,3.4,1,7.3
Ingeniería,Noche,Lunes,Bebida,Efectivo,Pregrado,1,2.16,7.0,3.7,1,10.7
Ingeniería,Noche,Martes,Bebida,Débito,Pregrado,1,0.8,5.4,3.1,1,7.9
Ingeniería,Noche,Martes,Snack,QR,Postgrado,4,3.8,15.3,3.2,5,11.0
Ingeniería,Noche,Martes,Colación,Débito,Pregrado,4,3.46,7.0,4.7,1,7.8
Ingeniería,Noche,Martes,Snack,QR,Pregrado,3,3.32,9.8,4.5,1,7.1
Ingeniería,Noche,Martes,Almuerzo,Débito,Pregrado,3,4.9,11.4,4.2,2,2.0
Ingeniería,Noche,Martes,Snack,Débito,Pregrado,1,0.8,9.4,4.5,1,3.7
Ingeniería,Noche,Martes,Snack,QR,Postgrado,1,1.59,2.7,3.9,2,15.8
Ingeniería,Noche,Martes,Colación,Débito,Pregrado,3,2.98,7.5,4.1,3,5.4
Ingeniería,Noche,Miércoles,Colación,Efectivo,Pregrado,3,3.1,8.4,4.3,1,7.6
Ingeniería,Noche,Miércoles,Bebida,QR,Pregrado,4,2.24,13.1,4.6,1,8.0
Ingeniería,Noche,Miércoles,Bebida,Efectivo,Pregrado,3,3.77,7.8,4.7,4,4.5
Ingeniería,Noche,Viernes,Snack,Efectivo,Postgrado,1,2.48,11.3,3.3,2,6.4
Ingeniería,Noche,Viernes,Colación,Efectivo,Pregrado,3,3.63,9.2,4.1,4,9.2
Ingeniería,Noche,Viernes,Almuerzo,QR,Postgrado,3,4.59,11.6,2.9,3,12.0
Ingeniería,Tarde,Jueves,Almuerzo,QR,Pregrado,2,4.71,12.8,4.2,2,12.6
Ingeniería,Tarde,Jueves,Snack,Débito,Postgrado,2,2.25,12.2,3.9,3,5.6
Ingeniería,Tarde,Jueves,Colación,QR,Pregrado,3,2.7,9.4,4.4,1,6.3
Ingeniería,Tarde,Jueves,Snack,Débito,Pregrado,3,3.02,11.4,4.8,2,7.8
Ingeniería,Tarde,Jueves,Bebida,Débito,Pregrado,4,0.8,11.3,4.4,2,4.9
Ingeniería,Tarde,Jueves,Bebida,Débito,Postgrado,2,1.48,6.8,3.9,1,8.9
Ingeniería,Tarde,Jueves,Almuerzo,Débito,Pregrado,4,5.43,15.3,2.5,2,1.0
Ingeniería,Tarde,Lunes,Bebida,Débito,Pregrado,1,2.25,13.3,4.2,1,4.2
Ingeniería,Tarde,Lunes,Colación,Efectivo,Pregrado,4,3.81,13.7,3.8,1,2.0
Ingeniería,Tarde,Lunes,Almuerzo,Efectivo,Pregrado,1,4.92,14.2,2.8,3,6.2
Ingeniería,Tarde,Lunes,Almuerzo,QR,Pregrado,1,5.95,13.8,3.5,5,6.9
Ingeniería,Tarde,Lunes,Almuerzo,Débito,Pregrado,2,3.58,10.4,2.8,4,6.2
Ingeniería,Tarde,Lunes,Colación,Débito,Pregrado,1,4.14,13.6,3.3,1,7.6
Ingeniería,Tarde,Lunes,Snack,Débito,Postgrado,2,1.26,9.7,3.9,2,9.6
Ingeniería,Tarde,Lunes,Colación,QR,Pregrado,2,3.2,11.6,3.9,3,6.7
Ingeniería,Tarde,Lunes,Almuerzo,Efectivo,Pregrado,1,4.19,11.1,4.0,1,4.1
Ingeniería,Tarde,Lunes,Bebida,Efectivo,Postgrado,2,2.08,10.8,4.8,1,9.5
Ingeniería,Tarde,Lunes,Colación,Débito,Pregrado,1,3.9,11.4,3.4,1,5.5
Ingeniería,Tarde,Lunes,Bebida,Débito,Pregrado,1,0.8,10.3,3.9,1,3.8
Ingeniería,Tarde,Lunes,Almuerzo,Efectivo,Postgrado,1,5.75,9.4,4.8,1,9.8
Ingeniería,Tarde,Lunes,Snack,Débito,Pregrado,1,2.81,13.0,3.2,1,1.9
Ingeniería,Tarde,Martes,Almuerzo,Débito,Postgrado,3,6.2,15.6,3.5,2,14.1
Ingeniería,Tarde,Martes,Almuerzo,QR,Pregrado,2,2.75,8.4,3.2,2,10.1
Ingeniería,Tarde,Martes,Colación,Efectivo,Pregrado,2,2.97,12.2,3.6,2,5.9
Ingeniería,Tarde,Martes,Colación,Efectivo,Pregrado,4,3.0,9.0,3.8,2,4.3
Ingeniería,Tarde,Martes,Colación,QR,Postgrado,2,4.13,13.1,3.4,1,8.1
Ingeniería,Tarde,Martes,Colación,Débito,Pregrado,2,2.11,12.9,3.6,3,10.0
